Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
AD3,Bauhaus,Dark Entries,4AD,"7"", Single, Blu",,1980,401351,Goth-Rock,2015-10-21 23:59:00,Near Mint (NM or M-),Very Good Plus (VG+),
CAD 411,This Mortal Coil,It'll End In Tears,4AD,"LP, Album",,1984,194107,Ethereal,2015-10-06 01:53:11,Near Mint (NM or M-),Near Mint (NM or M-),
CAD 514,The Wolfgang Press,The Legendary Wolfgang Press And Other Tall Stories,4AD,"LP, Comp",,1985,463281,New Wave,2015-10-06 01:04:08,Near Mint (NM or M-),Near Mint (NM or M-),
CAD 705,Dead Can Dance,Within The Realm Of A Dying Sun,4AD,"LP, Album",,1987,138272,Ethereal,2015-09-22 08:01:31,Near Mint (NM or M-),Near Mint (NM or M-),
JAD 911,Lush,Scar,4AD,"LP, MiniAlbum",,1989,313920,Alternative Rock,2015-10-20 08:54:30,Near Mint (NM or M-),Near Mint (NM or M-),
"CAD 606, CAD606",The Wolfgang Press,Standing Up Straight,"4AD, 4AD","LP, Album",,1986,463285,New Wave,2015-09-20 08:47:14,Near Mint (NM or M-),Near Mint (NM or M-),"Issued with a printed inner sleeve and a 12"" square, 10 page, accordion folded lyric insert."
069 490 563-2,Peter Frampton,Frampton Comes Alive!  25th Anniversary Deluxe Edition,A&M Records,"2xCD, Album, Dlx, RE, RM",,2001,2599157,Rock,2015-03-03 04:37:16,Near Mint (NM or M-),Near Mint (NM or M-),
493 113-2,T. Rex,Electric Warrior,A&M Records,"CD, Album, RE, RM",,2001,1022044,Hard Rock,2015-03-04 02:22:08,Near Mint (NM or M-),Near Mint (NM or M-),
AMS 9259,Joan Armatrading,Drop The Pilot,A&M Records,"7""",,1983,3763009,Pop-Rock,2015-03-17 04:17:57,Mint (M),Mint (M),
SLAM 68078,Strawbs,Grave New World,A&M Records,"LP, Album, Tri",,1972,4820206,Indie Rock,2015-10-06 03:21:36,Near Mint (NM or M-),Near Mint (NM or M-),
SP-4595,Hummingbird,We Can't Go On Meeting Like This,A&M Records,"LP, Album",,1976,1839556,Jazz-Rock,2015-10-14 02:22:09,Near Mint (NM or M-),Near Mint (NM or M-),
SP4269,Fotheringay,Fotheringay,A&M Records,LP,,0,7495507,Folk-Rock,2015-09-21 09:08:56,Near Mint (NM or M-),Near Mint (NM or M-),
DSX 50110,Steppenwolf,For Ladies Only,ABC/Dunhill Records,"LP, Album, Gat",,1971,1643379,Hard Rock,2015-10-14 03:52:01,Very Good Plus (VG+),Very Good Plus (VG+),
